Saint Bernard,110
Spanish Mastiff,110
Pyrenean Mastiff,100
Caucasian Shepherd Dog,90
Central Asian Shepherd Dog,90
Irish Wolfhound,90
Mastiff,90
Tibetan Mastiff,90
Boerboel,80
Leonberger,80
Tosa,80
Anatolian Shepherd Dog,70
Bernese Mountain Dog,70
Dogue de Bordeaux,70
Giant Schnauzer,70
Greater Swiss Mountain Dog,70
Komondor,70
Neapolitan Mastiff,70
Newfoundland,70
Tornjak,70
Romanian Carpathian Shepherd,65
Akita,60
Black Russian Terrier,60
Estrela Mountain Dog,60
Rafeiro do Alentejo,60
Rottweiler,60
Bullmastiff,59
Bloodhound,54
Great Dane,54
American Bulldog,50
Cane Corso,50
Japanese Akitainu,50
Kuvasz,50
Old English Sheepdog,50
Perro de Presa Canario,50
Romanian Mioritic Shepherd Dog,50
Scottish Deerhound,50
Appenzeller Sennenhund,45
Bergamasco Sheepdog,45
Borzoi,45
Dogo Argentino,45
Great Pyrenees,45
Hovawart,45
Otterhound,45
Plott,41
Rhodesian Ridgeback,41
American Leopard Hound,40
American Staffordshire Terrier,40
Bouvier des Flandres,40
Briard,40
Doberman Pinscher,40
Dutch Shepherd,40
German Shepherd Dog,40
Greyhound,40
Slovensky Cuvac,40
Alaskan Malamute,39
Chesapeake Bay Retriever,36
Slovakian Wirehaired Pointer,35
Spinone Italiano,35
American Foxhound,34
Curly-Coated Retriever,34
Flat-Coated Retriever,34
Golden Retriever,34
Boxer,32
Catahoula Leopard Dog,32
Chow Chow,32
Clumber Spaniel,32
Dalmatian,32
German Longhaired Pointer,32
German Wirehaired Pointer,32
Gordon Setter,32
Irish Red and White Setter,32
Irish Setter,32
Irish Water Spaniel,32
Labrador Retriever,32
American English Coonhound,30
Australian Shepherd,30
Azawakh,30
Barbet,30
Bavarian Mountain Scent Houn,30
Beauceron,30
Belgian Laekenois,30
Belgian Malinois,30
Belgian Sheepdog,30
Black and Tan Coonhound,30
Bluetick Coonhound,30
Bohemian Shepherd,30
Border Collie,30
Bracco Italiano,30
Braque du Bourbonnais,30
Braque Francais Pyrenean,30
Broholmer,30
Collie,30
Czechoslovakian Vlcak,30
English Setter,30
Entlebucher Mountain Dog,30
Eurasier,30
French Spaniel,30
German Shorthaired Pointer,30
Grand Basset Griffon Vendéen,30
Hokkaido,30
Karelian Bear Dog,30
Kishu Ken,30
Lhasa Apso,30
Mountain Cur,30
Pointer,30
Poodle (Standard),30
Portuguese Pointer,30
Portuguese Sheepdog,30
Portuguese Water Dog,30
Pudelpointer,30
Redbone Coonhound,30
Saluki,30
Samoyed,30
Segugio Italiano,30
Sloughi,30
Slovensky Kopov,30
Transylvanian Hound,30
Treeing Tennessee Brindle,30
Treeing Walker Coonhound,30
Vizsla,30
Weimaraner,30
Wetterhoun,30
Wirehaired Vizsla,30
Yakutian Laika,30
Basset Hound,29
Chinook,29
English Foxhound,29
Afghan Hound,27
Siberian Husky,27
Sussex Spaniel,27
Wirehaired Pointing Griffon,27
Basset Fauve de Bretagne,25
Bearded Collie,25
Belgian Tervuren,25
Berger Picard,25
Brittany,25
Bulldog,25
Chinese Shar-Pei,25
Hamiltonstovare,25
Hanoverian Scenthound,25
Harrier,25
Ibizan Hound,25
Norwegian Elkhound,25
Pharaoh Hound,25
Soft Coated Wheaten Terrier,25
Stabyhoun,25
Thai Ridgeback,25
Welsh Springer Spaniel,25
Airedale Terrier,23
Bull Terrier,22
Croatian Sheepdog,22
Drentsche Patrijshond,22
Shikoku,22
Spanish Water Dog,22
Standard Schnauzer,22
American Eskimo Dog,20
American Water Spaniel,20
Australian Cattle Dog,20
Australian Kelpie,20
Australian Stumpy Tail Cattle Dog,20
Barbado da Terceira,20
Canaan Dog,20
Deutscher Wachtelhund,20
Finnish Lapphund,20
Icelandic Sheepdog,20
Kai Ken,20
Lagotto Romagnolo,20
Lapponian Herder,20
Polish Lowland Sheepdog,20
Schapendoes,20
Small Munsterlander,20
Swedish Lapphund,20
Working Kelpie,20
Field Spaniel,18
Keeshond,18
English Springer Spaniel,17
Kerry Blue Terrier,17
Staffordshire Bull Terrier,17
Boykin Spaniel,16
English Cocker Spaniel,16
Finnish Spitz,16
Glen of Imaal Terrier,16
Norwegian Buhund,16
Nova Scotia Duck Tolling Retriever,16
Petit Basset Griffon Vendéen,16
Pumi,16
Swedish Vallhund,16
Cardigan Welsh Corgi,15
Cocker Spaniel,15
Danish-Swedish Farmdog,15
Drever,15
German Pinscher,15
Jindo,15
Mudi,15
Nederlandse Kooikerhondje,15
Peruvian Inca Orchid,15
Pyrenean Shepherd,15
Taiwan Dog,15
Whippet,15
Xoloitzcuintli,15
Carolina Dog,14
Cirneco dell'Etna,14
French Bulldog,14
Miniature American Shepherd,14
Miniature Bull Terrier,14
Puli,14
Shetland Sheepdog,14
Pembroke Welsh Corgi,13
Beagle,11
Boston Terrier,11
Dandie Dinmont Terrier,11
Lancashire Heeler,11
Teddy Roosevelt Terrier,11
Basenji,10
Jagdterrier,10
Norrbottenspets,10
Porcelaine,10
Portuguese Podengo,10
Scottish Terrier,10
Sealyham Terrier,10
Shiba Inu,10
Bedlington Terrier,9
Dachshund,9
Irish Terrier,9
Lakeland Terrier,9
Norwegian Lundehund,9
Welsh Terrier,9
Border Terrier,8
Cavalier King Charles Spaniel,8
Cesky Terrier,8
Parson Russell Terrier,8
Pug,8
Skye Terrier,8
Tibetan Terrier,8
Alaskan Klee Kai,7
American Hairless Terrier,7
Bolognese,7
German Spitz,7
Japanese Spitz,7
Löwchen,7
Manchester Terrier (Standard),7
Miniature Schnauzer,7
Pekingese,7
Poodle (Miniature),7
Russell Terrier,7
Schipperke,7
Shih Tzu,7
Silky Terrier,7
Smooth Fox Terrier,7
Tibetan Spaniel,7
West Highland White Terrier,7
Wire Fox Terrier,7
Australian Terrier,6
Cairn Terrier,6
Coton de Tulear,6
Kromfohrlander,6
Norfolk Terrier,6
Norwich Terrier,6
Portuguese Podengo Pequeno,6
Rat Terrier,6
Volpino Italiano,6
Affenpinscher,5
Bichon Frise,5
Chinese Crested,5
English Toy Spaniel,5
Havanese,5
Italian Greyhound,5
Manchester Terrier (Toy),5
Pomeranian,5
Russian Tsvetnaya Bolonka,5
Brussels Griffon,4
Japanese Chin,4
Japanese Terrier,4
Maltese,4
Miniature Pinscher,4
Papillon,4
Poodle (Toy),4
Biewer Terrier,3
Chihuahua,3
Russian Toy,3
Toy Fox Terrier,3
Yorkshire Terrier,3